number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
30,0.432895441075945,0.35509812032171995,2024-03-12 20:12:44.706776,2024-03-12 20:22:54.054490,0 days 00:10:09.347714,5.312304912910034e-05,dart,0.5948824133654714,3.349317077148651e-05,depthwise,0.9778905144113269,5,4,160,forest,0.0015396542412550013,uniform,0.3108367162122713,0.38822715889824044,0,COMPLETE
31,0.530636385860714,0.29525138103757403,2024-03-12 20:22:54.055493,2024-03-12 20:40:30.773498,0 days 00:17:36.718005,0.00526085452495062,dart,0.854010857380995,3.152431116859794e-08,depthwise,0.5355552524143135,9,3,160,forest,3.619472867774257e-08,weighted,0.1314926246597179,0.7384602411704688,0,COMPLETE
32,0.4094212313566121,0.37092140206897545,2024-03-12 20:40:30.775488,2024-03-12 20:46:10.069168,0 days 00:05:39.293680,1.5193981502828926e-05,dart,0.8599251619952175,0.27357576793625543,lossguide,6.717164924819507e-05,5,7,100,tree,9.567117419003016e-07,weighted,0.01824021965290225,0.49513836641197706,0,COMPLETE
33,0.5444666840386513,0.2872294181950119,2024-03-12 20:46:10.070878,2024-03-12 20:55:30.043963,0 days 00:09:19.973085,0.06849253548118749,gbtree,0.4454578743740933,4.573166376785842e-07,lossguide,0.0012296184872160466,9,2,260,,,,,0.9770556272795639,0,COMPLETE
34,0.5292560671029964,0.29532988009654815,2024-03-12 20:55:30.046243,2024-03-12 21:04:46.701034,0 days 00:09:16.654791,1.3172167075024377e-08,gbtree,0.5991754084080294,1.0256865635247242e-08,lossguide,2.2196277322950976e-07,9,6,240,,,,,0.6294016113753381,0,COMPLETE
35,0.5269664572427161,0.29668634557323603,2024-03-12 21:04:46.702038,2024-03-12 21:15:06.295843,0 days 00:10:19.593805,0.0005117146450235762,gbtree,0.5743271102934663,0.6586428314880345,depthwise,4.736644732150851e-08,9,10,300,,,,,0.5878121814144786,0,COMPLETE
36,0.5228302617511283,0.2994617683171753,2024-03-12 21:15:06.297098,2024-03-12 21:33:03.079344,0 days 00:17:56.782246,1.648500074354704e-08,dart,0.9816846662775858,0.003761476321765908,lossguide,0.029924085469264016,9,2,160,tree,0.012863024682941478,uniform,0.00048180144827618274,0.6870671243087196,0,COMPLETE
37,0.5023593985966597,0.3130991621776663,2024-03-12 21:33:03.080347,2024-03-12 21:35:46.113361,0 days 00:02:43.033014,0.0010716653289190529,gbtree,0.2503537429355621,0.0010019880671814309,lossguide,1.3533746384042098e-06,9,3,220,,,,,0.3729862321018586,0,COMPLETE
38,0.5404519643134486,0.2890670176953084,2024-03-12 21:35:46.114363,2024-03-12 22:12:53.119852,0 days 00:37:07.005489,1.9121457111035146e-05,dart,0.7049254940328618,1.9350539185090931e-07,lossguide,8.911971514579691e-08,9,6,280,tree,0.00014546388837167925,weighted,2.8938495611350572e-08,0.7824969924192744,0,COMPLETE
39,0.5327211547689894,0.2931667766484059,2024-03-12 22:12:53.121798,2024-03-12 22:25:02.314734,0 days 00:12:09.192936,1.5654849576876337e-07,gbtree,0.678125273373543,1.9384786015711595e-07,depthwise,1.4541994879460808e-07,7,8,300,,,,,0.8864264221466767,0,COMPLETE
40,0.3985533502556978,0.37755017681403014,2024-03-12 22:25:02.315300,2024-03-12 22:30:50.974219,0 days 00:05:48.658919,9.650867857353448e-06,dart,0.4289289960928659,0.13569214285018985,lossguide,3.735005829341373e-08,5,5,120,tree,0.011843244049712669,weighted,5.792570279015483e-07,0.3387984923504168,0,COMPLETE
41,0.4641222659737311,0.3354440895778342,2024-03-12 22:30:50.976225,2024-03-12 22:34:24.475539,0 days 00:03:33.499314,0.3798354745823331,gbtree,0.6933538754235333,0.1782570151053409,lossguide,0.006121631487283113,7,8,180,,,,,0.2834134078838917,0,COMPLETE
42,0.4055287767721719,0.37228383246954727,2024-03-12 22:34:24.476547,2024-03-12 22:36:55.325552,0 days 00:02:30.849005,3.572969184149984e-05,gbtree,0.8834544966816711,0.014002637912064098,depthwise,0.03611287495112471,5,2,120,,,,,0.3456771350816342,0,COMPLETE
43,0.4707549281027429,0.3314571633479002,2024-03-12 22:36:55.326555,2024-03-12 22:45:31.376789,0 days 00:08:36.050234,0.00019926929279827862,dart,0.4787159732762775,6.272828961021098e-07,depthwise,5.640654328863425e-07,9,10,140,tree,0.0003015768862080947,weighted,0.5289276754668689,0.3268271316570137,0,COMPLETE
44,0.4376650042102961,0.3525573516554753,2024-03-12 22:45:31.377792,2024-03-12 22:49:01.729879,0 days 00:03:30.352087,0.0004346754140540445,gbtree,0.7484238259291993,3.901522757573161e-06,depthwise,0.2048542601182657,5,5,260,,,,,0.23858406769251142,0,COMPLETE
45,0.43162941351354894,0.35616897785455853,2024-03-12 22:49:01.731788,2024-03-12 22:53:20.524849,0 days 00:04:18.793061,3.6857866423274195e-07,dart,0.32224084878820136,0.00017990184259145936,lossguide,0.004830605208251734,7,2,100,tree,1.7029793207251162e-08,weighted,0.00018518355889849894,0.33455544472084287,0,COMPLETE
46,0.537465564338166,0.2902933550718184,2024-03-12 22:53:20.526117,2024-03-12 23:22:42.526817,0 days 00:29:22.000700,0.00035092243579784484,dart,0.4961494665636617,3.3091140821515656e-08,lossguide,0.03466832927616068,9,2,260,forest,0.002600565979757144,weighted,4.720626233738089e-05,0.7690593887130881,0,COMPLETE
47,0.5435914896915939,0.28761944265045747,2024-03-12 23:22:42.527819,2024-03-12 23:59:21.070730,0 days 00:36:38.542911,0.050129161841147754,dart,0.4576027202633934,0.19327902684278284,depthwise,0.008044314473836823,9,6,300,tree,2.875751003203073e-08,weighted,0.18710703635220102,0.9408466758482725,0,COMPLETE
48,0.5124265869308863,0.30633673683762813,2024-03-12 23:59:21.071890,2024-03-13 00:19:16.024469,0 days 00:19:54.952579,0.004655142064719634,dart,0.831706816018519,0.004281263026932305,lossguide,4.5353309154877857e-07,7,7,200,forest,0.014535654791889044,weighted,0.00011575886780182393,0.6845022625322299,0,COMPLETE
49,0.4146899388295059,0.36703619639328355,2024-03-13 00:19:16.026474,2024-03-13 00:30:50.535586,0 days 00:11:34.509112,0.005741983594878784,dart,0.9354732263767878,0.028917934888108093,depthwise,5.2269948901899626e-08,5,2,160,forest,0.1372112148584062,weighted,8.651178281084334e-07,0.614922100746648,0,COMPLETE
