number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
35,0.24187309484831188,0.4710709932176602,2024-03-09 20:35:14.309005,2024-03-09 20:38:54.122361,0 days 00:03:39.813356,0.1461985654198905,gbtree,0.4128320152862685,0.3054123717456592,8.726583060656449e-08,lossguide,0.0001633533279217977,7,7,240,,,,,0.3424973459656837,0,COMPLETE
36,-0.09696691337548402,0.6885471474600529,2024-03-09 20:38:54.123364,2024-03-09 20:47:01.459992,0 days 00:08:07.336628,0.00022581315039562136,gbtree,0.5370811042557442,1.4375556825289208e-06,0.006477128744396121,depthwise,9.217229951805554e-06,7,7,240,,,,,0.881481277256283,0,COMPLETE
37,-0.09719348228280271,0.6886907622513181,2024-03-09 20:47:01.461500,2024-03-09 21:01:24.084249,0 days 00:14:22.622749,2.765040041043712e-07,dart,0.6377913991400914,2.7820114109346156e-07,8.982159296835027e-06,depthwise,1.650850900465041e-06,5,8,180,forest,5.2742281905438565e-05,weighted,3.27895163452087e-08,0.7415331547564639,0,COMPLETE
38,-0.0968027511629634,0.6884416077378599,2024-03-09 21:01:24.085095,2024-03-09 21:06:19.871813,0 days 00:04:55.786718,5.781438415409605e-06,gbtree,0.647967038011211,2.986625483563942e-06,3.31514534100364e-06,lossguide,0.00024652773594671684,5,5,240,,,,,0.5212553903644972,0,COMPLETE
39,0.19473035980683615,0.5046947682478933,2024-03-09 21:06:19.872803,2024-03-09 21:10:04.615449,0 days 00:03:44.742646,0.30122538470964016,dart,0.27983346511911933,0.017756008819003428,0.0001260105901926106,depthwise,0.06559613512739929,3,4,100,tree,1.5375940012381664e-07,uniform,2.8177237417366833e-08,0.7584320156608357,0,COMPLETE
40,-0.09523794471509431,0.6874507449884991,2024-03-09 21:10:04.615449,2024-03-09 21:17:41.842770,0 days 00:07:37.227321,4.573379653749709e-05,dart,0.8584299892977403,2.7033289885404723e-05,0.002126128447378764,depthwise,9.771858111378402e-07,7,8,100,forest,6.260924741546632e-07,uniform,8.935065543586065e-08,0.7712461094718337,0,COMPLETE
41,0.16629451853204696,0.5221354168948761,2024-03-09 21:17:41.842770,2024-03-09 21:20:02.963903,0 days 00:02:21.121133,0.000975312034035248,gbtree,0.796308115344166,0.009750923872912072,0.23378698533003012,depthwise,4.507658107196218e-08,3,8,140,,,,,0.6934741306384741,0,COMPLETE
42,0.09276018301989275,0.5680123592608671,2024-03-09 21:20:02.964906,2024-03-09 21:27:49.194498,0 days 00:07:46.229592,2.2256457876084095e-05,dart,0.5489459037020195,0.005697644270990217,2.6172611199866765e-06,lossguide,1.073020363229856e-06,3,9,140,tree,5.5345112299188494e-08,weighted,0.0002664518707668516,0.9637948390755309,0,COMPLETE
43,0.5222610726506517,0.3006781319036089,2024-03-09 21:27:49.196503,2024-03-09 21:37:18.414507,0 days 00:09:29.218004,3.494630585079505e-08,gbtree,0.6671642506348463,0.05845655958323326,0.0014314784337936153,lossguide,0.0024327791452268487,7,10,260,,,,,0.8258370202096919,0,COMPLETE
44,-0.09430130740020926,0.6868570581352198,2024-03-09 21:37:18.416233,2024-03-09 21:45:04.856540,0 days 00:07:46.440307,0.001462119018080526,gbtree,0.6830171243253244,1.3875865210583586e-05,1.3048915350629525e-05,depthwise,2.796686471589e-08,7,2,300,,,,,0.4063348546892114,0,COMPLETE
