number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
26,0.474750348647852,2024-03-19 22:49:20.836670,2024-03-19 22:55:39.655340,0 days 00:06:18.818670,5.837348609278334e-06,dart,0.7201453809285062,0.12082750838735482,0.004718049923651277,lossguide,4.397233479548732e-05,9,5,240,tree,2.784110828802232e-07,uniform,0.00018549648085050717,0.5095329732723048,COMPLETE
27,0.1102630706849977,2024-03-19 22:55:39.656857,2024-03-19 23:01:42.042419,0 days 00:06:02.385562,6.0248997247036844e-06,dart,0.5371840993250756,0.0020242656657506472,0.002802704180315347,lossguide,1.4790712660062093e-06,9,7,240,tree,3.373295975488479e-07,uniform,0.0002409629520958067,0.523466190095902,COMPLETE
28,-0.05197938894842906,2024-03-19 23:01:42.043745,2024-03-19 23:07:19.554092,0 days 00:05:37.510347,0.00016204768703578424,dart,0.6890512160025661,0.0003354974798087404,0.008611209414543755,lossguide,1.2521403366311376e-07,9,4,220,tree,1.3172629909204978e-08,uniform,0.002635439047839577,0.5779817759668195,COMPLETE
29,0.25966665398761724,2024-03-19 23:07:19.555092,2024-03-19 23:13:41.315115,0 days 00:06:21.760023,3.674926559723681e-05,dart,0.5318580469837944,0.025052769326889227,0.00011355240562395605,lossguide,2.1430304008911134e-05,3,5,260,tree,4.257796556508241e-07,uniform,3.95839593785195e-05,0.6602895439058624,COMPLETE
30,0.47450020511988616,2024-03-19 23:13:41.317111,2024-03-19 23:21:56.347862,0 days 00:08:15.030751,2.9159534259692493e-06,dart,0.7061162340883765,0.11455380145470141,0.0015640846276472435,lossguide,2.9521922450677093e-06,9,4,280,tree,1.8535250050567898e-07,uniform,0.0012682125842135553,0.48930241731483776,COMPLETE
31,0.4613483284372446,2024-03-19 23:21:56.349369,2024-03-19 23:30:12.072601,0 days 00:08:15.723232,1.8594760456053865e-06,dart,0.7076116846248938,0.16215641887437662,0.0013861144219099258,lossguide,3.2968561257228432e-06,9,4,280,tree,1.1805499070756288e-07,uniform,0.0009534139302667441,0.4885666059836703,COMPLETE
32,0.3447156136471369,2024-03-19 23:30:12.073603,2024-03-19 23:38:17.805597,0 days 00:08:05.731994,1.4601712355005017e-05,dart,0.7191359438192818,0.008108877641295476,0.0008910350361403024,lossguide,2.6216250005573943e-06,9,5,280,tree,6.368169175202967e-08,uniform,0.017924087711682208,0.46228008590941744,COMPLETE
33,0.43420110930017647,2024-03-19 23:38:17.807602,2024-03-19 23:43:03.598112,0 days 00:04:45.790510,3.767376056755732e-07,dart,0.3689904454994655,0.17903171376901963,0.02581354084111089,lossguide,2.808384013191019e-07,9,4,220,tree,1.0717828645145116e-07,uniform,0.0012807491700887958,0.359131506270396,COMPLETE
34,0.16467180513009855,2024-03-19 23:43:03.598570,2024-03-19 23:49:45.858060,0 days 00:06:42.259490,0.00020755846186269272,dart,0.5642880230906568,0.6127419097564195,0.0003228126899470719,lossguide,5.3846865023497575e-06,9,6,260,tree,1.8609241314417305e-06,uniform,0.022873381788456618,0.5729451847875817,COMPLETE
35,0.4624900885457087,2024-03-19 23:49:45.859104,2024-03-19 23:55:21.635157,0 days 00:05:35.776053,2.1319977443575076e-06,dart,0.6538003055534168,0.03583991704962318,0.0012785751377834605,lossguide,8.99092932561317e-07,9,3,240,forest,1.6582459499643067e-08,weighted,0.00046313600575158823,0.7330932589136993,COMPLETE
