number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
74,0.4422912203187286,0.3521723483555691,2024-03-18 11:33:05.963381,2024-03-18 12:46:31.746785,0 days 01:13:25.783404,absolute_error,800,7,4,300,1,COMPLETE
75,0.45007567580961594,0.34551868224098664,2024-03-18 12:46:31.747772,2024-03-18 12:47:34.305306,0 days 00:01:02.557534,friedman_mse,1800,9,8,360,1,COMPLETE
76,0.467622265613969,0.3344147858980033,2024-03-18 12:47:34.305306,2024-03-18 12:48:32.015006,0 days 00:00:57.709700,squared_error,800,3,20,300,1,COMPLETE
77,0.45403028537689866,0.3444583475927273,2024-03-18 12:48:32.016008,2024-03-18 13:47:59.640982,0 days 00:59:27.624974,absolute_error,800,5,14,240,1,COMPLETE
78,0.4708083047327767,0.3318418201376384,2024-03-18 13:47:59.640982,2024-03-18 13:48:56.585578,0 days 00:00:56.944596,friedman_mse,600,1,20,280,1,COMPLETE
79,0.4552373367548648,0.3419841177249504,2024-03-18 13:48:56.586579,2024-03-18 15:02:15.147275,0 days 01:13:18.560696,absolute_error,1800,1,20,280,1,COMPLETE
80,0.4826659614401428,0.32423796925443094,2024-03-18 15:02:15.148290,2024-03-18 15:03:10.723794,0 days 00:00:55.575504,friedman_mse,1800,1,16,240,1,COMPLETE
81,0.4843284487414866,0.3239800856600473,2024-03-18 15:03:10.723794,2024-03-18 15:04:07.927266,0 days 00:00:57.203472,friedman_mse,1200,5,6,260,1,COMPLETE
82,0.4983530668508146,0.3141122706829715,2024-03-18 15:04:07.927266,2024-03-18 15:05:10.314611,0 days 00:01:02.387345,friedman_mse,1000,1,10,260,1,COMPLETE
83,0.46606429216708933,0.33550054630277254,2024-03-18 15:05:10.315613,2024-03-18 15:06:00.142571,0 days 00:00:49.826958,friedman_mse,1000,7,14,260,1,COMPLETE
84,0.49293644117279956,0.3177739542393824,2024-03-18 15:06:00.143571,2024-03-18 15:06:51.640319,0 days 00:00:51.496748,friedman_mse,600,3,4,240,1,COMPLETE
85,0.4709217201028624,0.33177565808048326,2024-03-18 15:06:51.640319,2024-03-18 15:07:41.321386,0 days 00:00:49.681067,friedman_mse,800,1,20,240,1,COMPLETE
86,0.4842277155619129,0.32405377263344887,2024-03-18 15:07:41.321386,2024-03-18 15:08:54.042578,0 days 00:01:12.721192,friedman_mse,800,5,6,340,1,COMPLETE
87,0.4882230409213847,0.3206745273626637,2024-03-18 15:08:54.042578,2024-03-18 15:10:10.016073,0 days 00:01:15.973495,friedman_mse,1600,1,14,340,1,COMPLETE
88,0.4477017842270019,0.347052888389731,2024-03-18 15:10:10.016073,2024-03-18 15:11:11.571937,0 days 00:01:01.555864,friedman_mse,1400,9,20,360,1,COMPLETE
89,0.48411404243320194,0.324064673764325,2024-03-18 15:11:11.571937,2024-03-18 15:12:08.378754,0 days 00:00:56.806817,friedman_mse,1000,5,2,280,1,COMPLETE
90,0.46300181939713686,0.3387190163921912,2024-03-18 15:12:08.378754,2024-03-18 16:23:38.560897,0 days 01:11:30.182143,absolute_error,800,5,6,280,1,COMPLETE
91,0.48820803778765576,0.3206807216509795,2024-03-18 16:23:38.560897,2024-03-18 16:24:55.705190,0 days 00:01:17.144293,friedman_mse,800,1,14,340,1,COMPLETE
92,0.5076034025869692,0.30832878934965907,2024-03-18 16:24:55.706193,2024-03-18 16:25:56.933380,0 days 00:01:01.227187,squared_error,1800,1,6,220,1,COMPLETE
93,0.4552913286044202,0.3418930477112578,2024-03-18 16:25:56.933380,2024-03-18 17:57:27.551806,0 days 01:31:30.618426,absolute_error,1200,1,20,360,1,COMPLETE
94,0.43607538117413613,0.35603726695934546,2024-03-18 17:57:27.553537,2024-03-18 19:15:52.212220,0 days 01:18:24.658683,absolute_error,1200,7,18,340,1,COMPLETE
95,0.48810063066016235,0.32076825859932984,2024-03-18 19:15:52.212220,2024-03-18 19:17:05.967526,0 days 00:01:13.755306,squared_error,1400,1,14,320,1,COMPLETE
96,0.4506019855064066,0.3452768076996506,2024-03-18 19:17:05.967526,2024-03-18 19:17:45.220486,0 days 00:00:39.252960,squared_error,1400,9,10,200,1,COMPLETE
97,0.46255953699487284,0.33899230899508154,2024-03-18 19:17:45.222684,2024-03-18 20:16:26.482971,0 days 00:58:41.260287,absolute_error,1000,5,10,240,1,COMPLETE
98,0.48449989442401387,0.32393279463216734,2024-03-18 20:16:26.482971,2024-03-18 20:17:42.594978,0 days 00:01:16.112007,squared_error,2000,5,8,360,1,COMPLETE
99,0.4649123824124309,0.3369258709640647,2024-03-18 20:17:42.597986,2024-03-18 21:48:10.477828,0 days 01:30:27.879842,absolute_error,1200,3,14,360,1,COMPLETE
