number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
50,0.13529075329823254,0.5419360300871252,2024-03-13 19:39:10.895304,2024-03-13 19:39:11.747995,0 days 00:00:00.852691,friedman_mse,5,log2,800,1,6,120,1,COMPLETE
51,0.3246394014858054,0.4288035254356609,2024-03-13 19:39:11.750003,2024-03-13 19:40:57.970205,0 days 00:01:46.220202,absolute_error,9,sqrt,900,3,4,100,1,COMPLETE
52,0.27296823912702606,0.45440048302561886,2024-03-13 19:40:57.972209,2024-03-13 19:40:59.191067,0 days 00:00:01.218858,friedman_mse,7,sqrt,600,1,6,100,1,COMPLETE
53,0.28858580055670746,0.4529530104802836,2024-03-13 19:40:59.193059,2024-03-13 19:43:48.962397,0 days 00:02:49.769338,absolute_error,9,sqrt,100,3,4,160,1,COMPLETE
54,0.24708710215720675,0.480233842985883,2024-03-13 19:43:48.963390,2024-03-13 19:47:16.880152,0 days 00:03:27.916762,absolute_error,7,sqrt,300,1,6,200,1,COMPLETE
55,0.35235292514762584,0.4044389131601552,2024-03-13 19:47:16.882156,2024-03-13 19:47:19.399441,0 days 00:00:02.517285,friedman_mse,9,sqrt,700,1,8,180,1,COMPLETE
56,0.23532358730772981,0.4858176845610692,2024-03-13 19:47:19.400441,2024-03-13 20:29:09.337189,0 days 00:41:49.936748,absolute_error,5,,500,5,10,200,1,COMPLETE
57,0.1377074155247797,0.5404493220656046,2024-03-13 20:29:09.338207,2024-03-13 20:29:10.914583,0 days 00:00:01.576376,friedman_mse,5,log2,700,5,6,180,1,COMPLETE
58,0.04024117524721158,0.6024044872873295,2024-03-13 20:29:10.915600,2024-03-13 20:29:14.132708,0 days 00:00:03.217108,friedman_mse,3,log2,100,3,10,200,1,COMPLETE
59,0.38007034868480527,0.3909861048849608,2024-03-13 20:29:14.133711,2024-03-13 21:07:32.661171,0 days 00:38:18.527460,absolute_error,9,,700,1,4,160,1,COMPLETE
60,0.13867881639430546,0.5397441100316784,2024-03-13 21:07:32.662173,2024-03-13 21:07:35.349907,0 days 00:00:02.687734,friedman_mse,5,log2,1000,1,10,180,1,COMPLETE
61,0.13692566230922842,0.5436047817448179,2024-03-13 21:07:35.351911,2024-03-13 21:07:43.603288,0 days 00:00:08.251377,squared_error,3,,300,5,6,160,1,COMPLETE
62,0.3491549067632369,0.4072971830835014,2024-03-13 21:07:43.604291,2024-03-13 21:07:57.263374,0 days 00:00:13.659083,friedman_mse,7,,700,5,2,140,1,COMPLETE
63,0.15008017718732075,0.5458203496640643,2024-03-13 21:07:57.263374,2024-03-13 21:10:57.066872,0 days 00:02:59.803498,absolute_error,5,sqrt,900,1,8,180,1,COMPLETE
64,0.2563855419024553,0.467593265566342,2024-03-13 21:10:57.067887,2024-03-13 21:11:03.816514,0 days 00:00:06.748627,squared_error,5,,1000,3,8,100,1,COMPLETE
65,0.4091990195515921,0.36916010067375693,2024-03-13 21:11:03.816514,2024-03-13 21:11:25.037951,0 days 00:00:21.221437,squared_error,9,,600,3,6,160,1,COMPLETE
66,0.2919080787944496,0.44298745623911084,2024-03-13 21:11:25.038949,2024-03-13 21:11:27.050058,0 days 00:00:02.011109,friedman_mse,9,log2,300,5,2,200,1,COMPLETE
