number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,system_attrs_nsga2:generation,state
44,0.3783821584975705,0.38758271183986975,2024-03-16 20:27:58.607638,2024-03-16 20:28:03.994403,0 days 00:00:05.386765,squared_error,17,sqrt,200,200,0,COMPLETE
45,0.4961680534382393,0.3153342795240973,2024-03-16 20:28:03.994403,2024-03-16 21:34:01.168932,0 days 01:05:57.174529,absolute_error,19,,1000,240,0,COMPLETE
46,0.4960159559235934,0.315036265220454,2024-03-16 21:34:01.168932,2024-03-16 21:35:25.976939,0 days 00:01:24.808007,squared_error,15,,700,340,0,COMPLETE
47,0.44556165226525496,0.34905618617806644,2024-03-16 21:35:25.976939,2024-03-16 21:39:55.028736,0 days 00:04:29.051797,absolute_error,15,sqrt,800,220,0,COMPLETE
48,0.40686715706792087,0.369602671407165,2024-03-16 21:39:55.029728,2024-03-16 21:40:00.848592,0 days 00:00:05.818864,squared_error,13,sqrt,300,320,0,COMPLETE
49,0.495786677229885,0.3150134121116125,2024-03-16 21:40:00.849592,2024-03-16 21:41:13.198172,0 days 00:01:12.348580,squared_error,19,,600,300,0,COMPLETE
50,0.49866837723496255,0.3134591392163648,2024-03-16 21:41:13.198172,2024-03-16 21:42:38.509003,0 days 00:01:25.310831,friedman_mse,15,,800,340,1,COMPLETE
51,0.4803267917146501,0.32392067509752115,2024-03-16 21:42:38.509003,2024-03-16 21:42:47.173547,0 days 00:00:08.664544,friedman_mse,15,sqrt,1000,320,1,COMPLETE
52,0.4312630337444661,0.35448390593952755,2024-03-16 21:42:47.173547,2024-03-16 21:42:53.191534,0 days 00:00:06.017987,squared_error,19,sqrt,400,300,1,COMPLETE
53,0.47096082710246473,0.32969684271976096,2024-03-16 21:42:53.191534,2024-03-16 21:42:59.228550,0 days 00:00:06.037016,friedman_mse,15,sqrt,800,240,1,COMPLETE
54,0.5033340486810871,0.31051888413355133,2024-03-16 21:42:59.228550,2024-03-16 21:44:01.895681,0 days 00:01:02.667131,squared_error,17,,800,240,1,COMPLETE
55,0.4607211581246141,0.33623831359475187,2024-03-16 21:44:01.897250,2024-03-16 21:45:07.427061,0 days 00:01:05.529811,friedman_mse,15,,300,340,1,COMPLETE
56,0.464199977076346,0.335845642240738,2024-03-16 21:45:07.427061,2024-03-16 23:18:45.098017,0 days 01:33:37.670956,absolute_error,15,,500,360,1,COMPLETE
57,0.5073096659806741,0.30834844015045376,2024-03-16 23:18:45.098017,2024-03-16 23:19:37.789993,0 days 00:00:52.691976,squared_error,17,,1000,200,1,COMPLETE
58,0.38623582411944335,0.3831613262156505,2024-03-16 23:19:37.789993,2024-03-16 23:20:21.571223,0 days 00:00:43.781230,squared_error,13,,100,340,1,COMPLETE
59,0.43522643932746236,0.35491735108279004,2024-03-16 23:20:21.571223,2024-03-17 00:43:00.993449,0 days 01:22:39.422226,absolute_error,15,,300,300,1,COMPLETE
60,0.47537795077013384,0.32727592939840183,2024-03-17 00:43:00.994468,2024-03-17 00:43:44.939449,0 days 00:00:43.944981,friedman_mse,15,,400,220,1,COMPLETE
61,0.48262049941257834,0.3240514752426223,2024-03-17 00:43:44.940452,2024-03-17 01:44:52.768736,0 days 01:01:07.828284,absolute_error,15,,900,240,1,COMPLETE
