number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
48,0.5419459935960862,2024-03-19 14:06:05.934055,2024-03-19 14:07:03.116739,0 days 00:00:57.182684,0.0004085788343888298,dart,0.7231878514801464,0.06114341047926526,0.0023629147414357178,lossguide,0.4364051261255168,15,8,180,forest,9.866836297925632e-07,uniform,8.033744751780248e-06,0.5749108990613643,COMPLETE
49,0.5335922824924101,2024-03-19 14:07:03.117743,2024-03-19 14:07:55.439925,0 days 00:00:52.322182,0.000308044413259742,dart,0.6997290766249517,0.06640948701805914,0.0027019570193342946,depthwise,0.4404220668853419,13,9,180,forest,4.6800073596137205e-07,uniform,5.641814691715699e-06,0.5788323725220214,COMPLETE
50,0.537980694178448,2024-03-19 14:07:55.440927,2024-03-19 14:08:56.980498,0 days 00:01:01.539571,0.0021851580944871564,dart,0.620151879390313,0.05864972696599497,0.0003144381726783002,lossguide,0.11276533794933316,15,8,190,forest,8.731482022277922e-06,uniform,0.00032498993380465955,0.6379169642699019,COMPLETE
51,0.540019890008785,2024-03-19 14:08:56.981501,2024-03-19 14:09:59.967030,0 days 00:01:02.985529,0.0046841041708758436,dart,0.6091369791340235,0.05924343817431919,0.00027012337730950107,lossguide,0.08002317055531098,15,8,190,forest,1.0237047655843182e-05,uniform,0.003181727348195008,0.6359586545600358,COMPLETE
52,0.5253917630120107,2024-03-19 14:09:59.968032,2024-03-19 14:11:09.681712,0 days 00:01:09.713680,0.004621892605045395,dart,0.7278131091982042,0.09359184711018145,0.00023172741210848358,lossguide,0.44155984232397283,15,8,200,forest,3.558114621348878e-07,uniform,0.0104749246755232,0.686321590664143,COMPLETE
53,0.5140020335947455,2024-03-19 14:11:09.682715,2024-03-19 14:12:12.954035,0 days 00:01:03.271320,0.019260228243559312,dart,0.7692345408141279,0.12019684740896629,0.00010239349018175889,lossguide,0.026950815842853377,15,9,190,forest,1.971024634888879e-05,uniform,3.4712816180988546e-05,0.6018969293016594,COMPLETE
54,0.5308595385148985,2024-03-19 14:12:12.956001,2024-03-19 14:13:09.070302,0 days 00:00:56.114301,0.0006861251263091764,dart,0.6828928154906946,0.0707672152411598,0.001454631119150812,lossguide,0.2294712203353576,15,9,180,forest,1.1475645099852728e-07,uniform,0.0005698969244671562,0.5567712715424155,COMPLETE
55,0.5461295930901974,2024-03-19 14:13:09.071305,2024-03-19 14:14:14.686934,0 days 00:01:05.615629,0.00010193631615581248,dart,0.6020393004770318,0.036280348292751195,0.014065020296791256,lossguide,0.08257018144661389,15,8,200,forest,4.591122696407229e-05,uniform,0.12352043874027736,0.7497785841102638,COMPLETE
56,0.5359699554231806,2024-03-19 14:14:14.688297,2024-03-19 14:15:26.570142,0 days 00:01:11.881845,9.279206282137853e-05,dart,0.6054007699252136,0.01937982435388845,0.01218556129554219,lossguide,0.8797809193079519,15,8,210,forest,4.1069685198276545e-05,uniform,0.22373990043214043,0.7491994571128672,COMPLETE
57,0.5406249192143026,2024-03-19 14:15:26.571145,2024-03-19 14:16:31.016414,0 days 00:01:04.445269,0.00019212509181329302,dart,0.862745386594068,0.03614445104367538,0.0009477679758924834,lossguide,0.07678882421066785,13,10,200,forest,1.6759781726931293e-06,uniform,0.019813480857932383,0.8386778106630447,COMPLETE
58,0.5393030789614759,2024-03-19 14:16:31.017401,2024-03-19 14:17:37.416298,0 days 00:01:06.398897,0.007740285724599865,dart,0.8306916146572053,0.06102656919197715,0.000590184839728344,lossguide,0.05179271427133251,13,10,200,forest,2.3392560872011503e-06,uniform,0.027189738869579434,0.8501111060981594,COMPLETE
59,0.539040152899142,2024-03-19 14:17:37.417297,2024-03-19 14:18:36.771980,0 days 00:00:59.354683,0.0010074352004096762,dart,0.8871504054481821,0.04019444463177718,1.787140162663566e-05,lossguide,0.025314139455704567,11,9,200,forest,2.8648741956736614e-06,uniform,0.005550295341327616,0.8203310460378571,COMPLETE
60,0.5068484639594037,2024-03-19 14:18:36.773985,2024-03-19 14:19:35.935334,0 days 00:00:59.161349,3.493955361789996e-05,dart,0.9776532356894905,0.15945252895464315,0.0005778492762401114,lossguide,0.0054283306287889665,13,10,190,forest,0.00010035284405577526,uniform,0.09140818767296781,0.9543589877752665,COMPLETE
61,0.5394835519073814,2024-03-19 14:19:35.936335,2024-03-19 14:20:34.941921,0 days 00:00:59.005586,0.00866867848762297,dart,0.9300403814867222,0.057295228557954575,9.54150286661468e-05,lossguide,0.08668870882130938,11,10,200,forest,1.7004024741688545e-06,uniform,0.02503684719043345,0.8549607213792035,COMPLETE
62,0.5375671425288688,2024-03-19 14:20:34.943928,2024-03-19 14:21:33.018017,0 days 00:00:58.074089,0.109263513734034,dart,0.9355113292264076,0.08242789268745035,7.156749908568864e-05,lossguide,0.08157513779877627,11,10,200,forest,1.3747204063673798e-06,uniform,0.33332373347103605,0.925256663684698,COMPLETE
63,0.5278992052545559,2024-03-19 14:21:33.020022,2024-03-19 14:22:38.963071,0 days 00:01:05.943049,4.909704489321703e-05,dart,0.9454069465104242,0.02556076642893666,1.4720824738590159e-05,lossguide,0.20950904499806405,11,10,210,forest,7.801726532571796e-08,uniform,0.020540889079168664,0.8997091110509398,COMPLETE
64,0.5354649414089708,2024-03-19 14:22:38.964086,2024-03-19 14:23:28.703642,0 days 00:00:49.739556,0.00013941890615737116,dart,0.8515101525988956,0.06068603390190838,0.0010551890577220834,lossguide,0.1635882270444662,9,9,190,forest,1.4732890455760325e-05,uniform,0.060594736474913063,0.8741125722676442,COMPLETE
65,0.5306355227403401,2024-03-19 14:23:28.704645,2024-03-19 14:24:31.003884,0 days 00:01:02.299239,0.013183937274112307,dart,0.950115790563352,0.10733696349791128,0.006108232635586649,lossguide,0.029186729425430113,11,10,200,forest,1.9484883481138658e-07,uniform,0.0013522707991342265,0.7791481145847727,COMPLETE
